twb file name,object type,datasource name,table name,remote column name,local column name,worksheet name,dashboard name,property type,property name,property value,proposed value,conversion in TS,supported in TS,supported in Migrator,exec_error_details,exec_mode,exec_status,exec_start_time,exec_end_time,exec_id,output_file_type,output_file_name,last_ingested_date
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,Product Order Quantity,,axis,columns,,,Value for only row/column available. Can be represented as table or single value KPI,NoSup,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,Product Order Quantity,,datasource,name,SUPERSTORE_SALES,,Value for only row/column available. Can be represented as table or single value KPI,NoSup,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart,SUPERSTORE_SALES,,,,Product Order Quantity,,chart type,mark,circle,,Value for only row/column available. Can be represented as table or single value KPI,NoSup,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,Product Order Quantity,,encoding,size,sum:ORDERQUANTITY:qk,,Value for only row/column available. Can be represented as table or single value KPI,NoSup,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,Product Order Quantity,,encoding,lod,none:PRODUCTCATEGORY:nk,,Value for only row/column available. Can be represented as table or single value KPI,NoSup,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,Product Order Quantity,,encoding,text,none:PRODUCTNAME:nk,,Value for only row/column available. Can be represented as table or single value KPI,NoSup,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,Product Order Quantity,,encoding,color,none:PRODUCTSUBCATEGORY:nk,,Value for only row/column available. Can be represented as table or single value KPI,NoSup,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,Region wise Sales and Profit,,axis,rows,Latitude (generated),,Use geo charts to represent the data.,partial,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,Region wise Sales and Profit,,axis,columns,Longitude (generated),,Use geo charts to represent the data.,partial,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,Region wise Sales and Profit,,datasource,name,SUPERSTORE_SALES,,Relevant charts can be created based on the Mark type,Partial,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart,SUPERSTORE_SALES,,,,Region wise Sales and Profit,,chart type,mark,shape,,Relevant charts can be created based on the Mark type,Partial,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,Region wise Sales and Profit,,encoding,shape,none:REGION:nk,,Relevant charts can be created based on the Mark type,Partial,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
